microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
16310,0.308,0.231,0.973,-0.732,1.587,2.869,13.909,-11.376,-95.724,2
16382,0.812,-0.587,-0.124,1.709,0.366,-1.221,-102.903,-55.975,-102.931,2
16424,0.163,0.302,0.869,-3.784,-8.362,4.028,14.15,-11.371,-95.367,2
16473,0.885,-0.554,-0.111,1.77,5.676,-2.991,-102.365,-56.338,-103.206,2
16506,0.243,0.233,0.887,-4.089,-40.894,0.732,14.084,-14.134,-95.784,2
16577,0.868,-0.477,-0.127,-6.226,7.874,-8.911,-101.371,-57.025,-104.535,2
16613,0.37,0.164,0.931,-8.972,-43.762,2.319,13.964,-18.924,-96.993,2
16682,0.846,-0.55,-0.12,-7.69,5.188,-7.141,-101.349,-57.953,-105.562,2
16701,0.397,0.208,0.899,-7.385,-43.762,4.517,13.326,-23.203,-98.004,2
16772,0.855,-0.525,-0.102,-4.883,4.761,-2.502,-100.986,-58.359,-106.309,2
16806,0.556,0.184,0.906,-15.198,-43.152,4.761,12.316,-27.889,-98.646,2
16893,0.851,-0.568,-0.112,-7.019,6.042,-3.357,-100.816,-58.986,-107.331,2
16934,0.567,0.191,0.839,-11.902,-37.231,2.747,11.409,-31.663,-99.349,2
16967,0.868,-0.533,-0.081,0.061,8.24,-2.258,-100.245,-59.293,-108.298,2
17009,0.643,0.144,0.783,0,-36.194,2.625,10.723,-35.777,-100.052,2
17072,0.863,-0.447,-0.079,-3.662,6.47,-9.216,-99.322,-60.145,-109.572,2
17102,0.648,0.129,0.801,3.967,-31.799,3.357,10.338,-39.353,-100.629,2
17177,0.884,-0.427,-0.085,-9.216,4.028,-7.507,-99.141,-61.068,-109.984,2
17206,0.683,0.146,0.797,2.747,-15.442,2.93,9.987,-41.885,-100.756,2
17309,0.767,0.142,0.777,6.714,-10.254,-2.563,9.47,-43.248,-100.959,2
17373,0.888,-0.474,-0.083,-5.737,3.601,-0.916,-99.976,-61.941,-110.242,2
17414,0.698,0.174,0.84,1.892,18.005,-3.113,10.146,-42.627,-101.327,2
17462,0.885,-0.484,-0.1,2.686,-4.272,9.094,-100.118,-61.518,-110.017,2
17504,0.579,0.161,0.797,9.949,41.504,-10.437,10.206,-39.172,-101.64,2
17567,0.894,-0.525,-0.077,-0.854,-0.916,19.226,-100.173,-60.04,-109.457,2
17609,0.695,0.12,0.663,0.061,0.61,-6.104,10.937,-37.227,-102.382,2
17656,0.871,-0.434,-0.063,7.385,5.859,3.906,-98.789,-59.161,-110.369,2
17714,0.657,0.119,0.701,1.343,-19.287,-2.319,12.085,-38.419,-103.315,2
17763,0.879,-0.488,-0.095,-1.953,12.451,-6.653,-97.185,-59.689,-112.368,2
17819,0.649,0.141,0.796,1.831,-16.113,-2.808,12.684,-40.457,-104.409,2
17852,0.885,-0.555,-0.105,-3.845,6.348,-2.319,-96.328,-60.249,-113.708,2
